CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,CardHoldersName_1,OrderDollarAmount,NumItems,AvgLineItemPrice,ZipDistance,BillingShippingZipEqual,reported_as_fraud
Amber Barlow,4929630826614764,1019,,42501 West Jamestown St.,South Burlington,USA,369606,Preston@litora.gov,Amber *Barlow,076-901-3048,AL,72738,72738,Amber Barlow,629.3,2,290,0,1,0.00
McKenzie William,4929002761425590,219,,2472 West Bulgaria Ln.,Layton,USA,489727,Lana@ut.gov,McKenzie *William,920-213-1345,AL,69797,69797,McKenzie William,775.6,2,365,,1,0.00
Kenyon Keller,5128362646648881,819,,9122 East Benin Way,Kalamazoo,USA,131289,Hamish@ut.net,Kenyon *Keller,356-831-4154,SD,81443,81443,Kenyon Keller,,0,,,1,0.00
Courtney Hodges,6011417342641479,720,,93736 East Saint Kitts and Nevis Way,Morrison,USA,949523,Carl@Proin.gov,Courtney *Hodges,208-896-6968,KS,3863,3863,Courtney Hodges,276.2,2,130,,1,0.00
Thane Graves,4485597972835806,720,,17159 East Guyana Ct.,Miami,USA,526967,Jakeem@Vestibulum.org,Thane *Graves,376-965-4574,NH,41134,41134,Thane Graves,100.9,2,47.5,,1,0.00
Glenna Graham,4485859448783410,221,,84879  Trinidad and Tobago Way,Bakersfield,USA,792979,Cherokee@massa.com,Glenna *Graham,863-259-1895,NM,13433,13433,Glenna Graham,248.4,2,115,0,1,0.00
Victoria Maxwell,5533059100480756,722,,73074 South Mauritius Way,Vacaville,USA,40265,Jason@interdum.net,Victoria *Maxwell,089-791-3167,WY,87755,87755,Victoria Maxwell,276.2,2,130,,1,0.00
Channing Pennington,5480242070298324,421,,17842 North Cortland Ave.,Ashland,USA,40303,Lee@ut.us,Channing *Pennington,804-611-4788,CA,73222,73222,Channing Pennington,510,2,240,,1,0.00
Damian Jefferson,5237425188476850,721,,32423 West Colombia Ct.,Brookings,USA,192430,Griffin@imperdiet.net,Damian *Jefferson,493-179-7580,AZ,99517,99517,Damian Jefferson,600,2,300,0,1,0.00
Ella Knapp,372128844342104,523,,67388 North Aruba Blvd.,Phoenix,USA,882248,Callie@nostra.org,Ella *Knapp,756-688-9852,NC,61529,61529,Ella Knapp,356.6,2,167,0,1,0.00
Gloria Walker,4539043029628379,821,,71487 East Greensboro Way,Laughlin,USA,586403,Keaton@dignissim.gov,Gloria *Walker,770-765-3085,WA,52669,52669,Gloria Walker,456.9,2,215,,1,0.00
Zorita Tanner,5221798155978738,1221,,72656 North Bahamas Blvd.,Omaha,USA,303526,Ryan@pharetra.edu,Zorita *Tanner,967-277-0471,WV,87683,87683,Zorita Tanner,276.2,2,130,,1,0.00
Rowan Fulton,5322348202112945,419,,31847  Solomon Islands Ct.,Nashville,USA,227503,Tarik@feugiat.edu,Rowan *Fulton,633-340-5001,RI,22226,22226,Rowan Fulton,,0,,0,1,0.00
Patrick Smith,4485163938105709,420,,14917 East Bouvet Island Blvd.,Baldwin Park,USA,579595,Graiden@tortor.gov,Patrick *Smith,532-238-5380,CO,54566,54566,Patrick Smith,,0,,0,1,0.00
Moana Drake,5412950018997913,318,,64647 North Afghanistan Ct.,Mason City,USA,128401,Ava@scelerisque.edu,Moana *Drake,980-644-5292,NM,45716,45716,Moana Drake,88.8,2,41.5,0,1,1.00
Gil Levine,4539087873507486,619,,'5020 South Palestinian Territory, Occupied Way',Saratoga Springs,USA,364170,Xena@bibendum.edu,Gil *Levine,514-650-3322,MD,5617,5617,Gil Levine,100.9,2,47.5,,1,0.00
Skyler Cummings,5456795473577388,1021,,19811 West El Salvador Blvd.,Maywood,USA,40620,Victor@pulvinar.org,Skyler *Cummings,619-729-4951,MT,25387,25387,Skyler Cummings,278.2,2,130,0,1,0.00
Claudia Brock,5553735783934566,322,,6598  Algeria Way,Manchester,USA,259682,Ali@nibh.com,Claudia *Brock,188-408-3168,MI,3412,3412,Claudia Brock,,0,,,1,0.00
Devin Barton,4929554472143243,921,,98634 West Kyrgyzstan Way,Edina,USA,579024,Sean@ut.net,Vladimir *Drake,460-300-3472,IL,79957,86336,Devin Barton,292.2,3,91.7,,0,0.00
Dolan Melendez,4716301093418829,322,,2557 West French Guiana Ct.,Springfield,USA,745264,Laurel@neque.edu,Garrison *Frederick,232-912-3520,DE,49369,66997,Dolan Melendez,371.9,2,175,,0,0.00
Talon Pruitt,4916128804067928,922,,17965 South Canada Ln.,New Orleans,USA,378305,Vladimir@dolor.us,Petra *Hunt,205-851-3913,MD,39166,97723,Talon Pruitt,48.1,2,22.5,,0,0.00
Ivan Lowe,4716339392754833,619,,9374 West La Puente Ave.,Saint Paul,USA,729180,Evelyn@ad.org,Ivan *Lowe,520-289-7902,MO,64321,64321,Ivan Lowe,5418.8,2,2550,,1,1.00
Upton Vazquez,4485208641304113,319,,13967 East Vanuatu Ave.,Wisconsin Rapids,USA,458201,Beck@eleifend.us,Upton *Vazquez,526-493-2875,IA,47980,47980,Upton Vazquez,363.8,3,113.3,0,1,1.00
Amelia Delgado,5181556793256745,1022,,14641 East Cameroon Way,Orem,USA,322968,Tobias@accumsan.com,Amelia *Delgado,132-242-4716,OR,94990,94990,Amelia Delgado,3421.2,2,1610,,1,0.00
Kato Suarez,5205972600972881,1123,,59052 North Saint Lucia Way,Fort Worth,USA,240563,Caldwell@ac.edu,Kato *Suarez,184-752-2676,WY,10818,10818,Kato Suarez,414.4,3,130,,1,0.00
Moana Ferrell,5544671888850179,921,,57424 East Dodge City Way,New Rochelle,USA,168882,Allistair@molestie.gov,Brenden *Cole,357-690-9139,ME,10231,47695,Moana Ferrell,690.6,3,216.7,,0,0.00
Paki Shields,4485124232637490,119,,51011 North Tuvalu Ave.,Eatontown,USA,388717,Abraham@facilisis.gov,Ruth *Sloan,881-916-6117,CO,74411,96546,Paki Shields,324.1,2,152.5,,0,0.00
Joseph Sloan,6011927616756514,721,,45390 East Antarctica Blvd.,Glendale,USA,955288,Calvin@fames.org,Nevada *Grimes,568-429-2780,OK,36847,45968,Joseph Sloan,616.2,2,290,,0,1.00
Rosalyn Whitney,5389083412563211,222,,52974 North Chile Ave.,New Iberia,USA,160329,Kristen@parturient.org,Rosalyn *Whitney,160-408-7621,GA,48003,48003,Rosalyn Whitney,2215.4,4,522.5,0,1,1.00
Branden Barrett,4916483009744676,1019,,92582 West Cameroon Ln.,Maywood,USA,613626,Ezekiel@vulputate.edu,Risa *Conley,311-038-2240,WI,78318,44396,Branden Barrett,2231.2,2,1050,,0,0.00
Shoshana Parks,5282093453826706,619,,50675 South Pomona Ave.,Fort Dodge,USA,130104,Patrick@nascetur.org,Shoshana *Parks,474-481-7708,LA,85041,85041,Shoshana Parks,1335.8,2,615,0,1,0.00
Tanisha Lyons,5540058335477802,621,,12196 West Suriname Blvd.,Warner Robins,USA,135070,Jackson@posuere.org,Tanisha *Lyons,046-961-0181,GA,33429,33429,Tanisha Lyons,734.6,4,173.2,0,1,0.00
Chester Potter,4612969382193181,1020,,81213 South Iceland St.,North Pole,USA,351247,Adara@netus.us,Burke *Greene,620-786-3296,NE,10161,56810,Chester Potter,228.6,2,105,,0,0.00
Alice Warren,377551832958570,621,,9949 West Algeria Ave.,Newport News,USA,806884,Nasim@Class.net,Abigail *Cooke,477-951-6568,MS,16649,63564,Alice Warren,648.1,2,305,,0,1.00
Amber Hunter,4716318443627099,1119,,41710 East Dalton Blvd.,Latrobe,USA,670993,Gary@ipsum.gov,Amber *Hunter,646-608-6301,MN,99917,99917,Amber Hunter,488.8,3,153.3,,1,1.00
Buckminster Nelson,4916923026654911,1223,,50960 West Greenland Ct.,Huntington Park,USA,627548,Ariana@sapien.gov,Buckminster *Nelson,763-127-2867,OK,69521,69521,Buckminster Nelson,743.8,5,140,,1,0.00
Logan Mercado,5171515198037557,923,,5255 East Liberia St.,McAlester,USA,235308,Kevyn@sapien.us,Kylie *West,259-169-9839,VA,67336,26783,Logan Mercado,491.6,2,225,,0,1.00
Allegra Nash,5134382432303725,1222,,43068 North Miami Gardens Ave.,Lincoln,USA,184644,Galvin@auctor.edu,Eliana *Potter,736-426-0479,SD,13637,25107,Allegra Nash,393.1,2,182,505.1,0,0.00
Haviva Reyes,4916430849261106,1020,,68096 West Dallas Way,Laguna Niguel,USA,572639,Keith@natoque.edu,Haviva *Reyes,370-569-5621,OR,24592,24592,Haviva Reyes,4928,3,1560,0,1,0.00
Cooper Hall,5501723800594400,619,,17732  Dayton Ct.,Idaho Springs,USA,248596,Otto@eros.us,Cooper *Hall,896-540-4731,WA,38731,38731,Cooper Hall,4338.9,5,811,0,1,0.00
Ryan Baird,5561214074719979,519,,87015 East Hawthorne Way,Kettering,USA,289334,Anika@arcu.org,Meredith *Morrow,948-623-5474,SC,3158,54158,Ryan Baird,346.4,3,108.7,,0,0.00
Petra Chandler,4929788088286182,722,,93413 East Brunei Darussalam Ct.,Gainesville,USA,473651,Eliana@turpis.org,Acton *Oliver,901-966-4239,WA,89243,66102,Petra Chandler,616.2,2,290,,0,0.00
Eaton Pace,5351312751576227,320,,18234 North Cleveland Ave.,Stamford,USA,15091,Nyssa@conubia.com,Eaton *Pace,256-499-4414,NM,56041,56041,Eaton Pace,4230.6,4,985,0,1,0.00
Beverly Padilla,5145692548163186,721,,81091  Paraguay Ct.,Wisconsin Rapids,USA,317733,Price@porttitor.org,Pascale *Ruiz,462-590-0827,WI,7073,12408,Beverly Padilla,6279.8,8,733.6,,0,0.00
Quinlan Hartman,4590794349603270,219,,4323  Mauritius Ct.,Las Cruces,USA,425818,Erica@id.gov,Quinlan *Hartman,727-479-1272,OH,49868,49868,Quinlan Hartman,3720.6,3,1170,0,1,0.00
Mannix Le,5320413030715095,422,,67757 East Bahamas Ln.,Pocatello,USA,15111,Nicole@mattis.org,Mannix *Le,896-663-2971,TN,99369,99369,Mannix Le,3253.4,2,1531,,1,0.00
Yuli Mendez,4929437063157196,719,,39518  India Way,Burbank,USA,558089,Hedda@faucibus.edu,Kaitlin *Rose,879-686-0136,MA,54838,99248,Yuli Mendez,1969.7,5,373.4,,0,0.00
Rigel Ball,4953265693037804,1019,,31836  Croatia St.,Ann Arbor,USA,496288,Tamekah@imperdiet.org,Rigel *Ball,331-779-3565,MA,41527,41527,Rigel Ball,1166,2,550,0,1,0.00
Hamilton Baker,377845988620467,1121,,65913 South Austin Ln.,Oil City,USA,879725,Damon@nisi.org,Hamilton *Baker,234-278-9585,VA,36707,36707,Hamilton Baker,1516.2,4,356.8,,1,0.00
Lionel Peters,5388838065579520,319,,99961  Berlin Blvd.,Carson City,USA,15157,Lana@et.gov,Lionel *Peters,554-316-5725,WA,14537,14537,Lionel Peters,276.3,5,51.4,0,1,0.00
Christian Cameron,6011108082284147,919,,96863 East British Indian Ocean Territory Ave.,Fort Smith,USA,995289,Drake@Cras.gov,Christian *Cameron,808-339-5749,SD,654,654,Christian Cameron,1248.4,6,195.8,0,1,0.00
Virginia Chapman,4532560306074347,920,,92170 West Myrtle Beach Ln.,Middletown,USA,532139,Neville@senectus.edu,Colton *Brady,523-976-9179,OK,61899,70603,Virginia Chapman,4071.5,6,638.7,,0,1.00
Kiara Fisher,5540475434324141,822,,84480  Eau Claire Blvd.,Selma,USA,15221,Keiko@euismod.gov,Kiara *Fisher,655-280-0893,MD,47073,47073,Kiara Fisher,3825,2,1800,,1,0.00
Shelley Fulton,4556132556234483,823,,86002  Macao Blvd.,Williamsburg,USA,790784,Zenia@placerat.org,Shelley *Fulton,317-377-2888,CT,56309,56309,Shelley Fulton,3596.3,3,1121.7,0,1,1.00
Amanda Bray,5550262235697637,322,,84764  Moultrie Ct.,Eden Prairie,USA,344954,Chase@pellentesque.gov,Moana *Mendoza,508-832-3541,IA,56423,73418,Amanda Bray,2076.1,2,977,,0,0.00
Felix Horn,5399949908868710,121,,61689 East Bulgaria Ct.,Perth Amboy,USA,287399,Rana@sagittis.edu,Miranda *Kemp,060-884-0359,DE,61593,37635,Felix Horn,371.9,2,175,,0,0.00
Hiroko Sandoval,5579962447648685,518,,96433  Brunei Darussalam Way,San Francisco,USA,311689,Brynn@non.org,Hiroko *Sandoval,514-843-1140,ND,40274,40274,Hiroko Sandoval,1744.6,8,205.2,,1,1.00
Bruce Rush,4556662327013097,720,,95841  Swaziland Ln.,International Falls,USA,639394,Grady@ante.edu,Xavier *Lara,240-558-4367,GA,71149,15205,Bruce Rush,285,2,130,930.8,0,0.00
Erich Weiss,347451992878279,621,,25542  Gloversville Blvd.,La Habra,USA,828127,Janna@ut.com,Erich *Weiss,259-199-5005,SC,14740,14740,Erich Weiss,895.3,7,118.4,0,1,0.00
Chester Vaughan,4532055672861112,1020,,32009 North Dayton Blvd.,Visalia,USA,397718,Amethyst@congue.edu,Chester *Vaughan,797-212-8012,NH,39034,39034,Chester Vaughan,1360,2,640,,1,0.00
Guy Mcfadden,6011221060450752,919,,55390 East Cape Verde Ave.,Yazoo City,USA,956367,Claudia@Nullam.com,Guy *Mcfadden,910-708-7803,MT,15547,15547,Guy Mcfadden,291.5,3,91.7,0,1,0.00
Sade King,6011551843654688,421,,46697 South Zimbabwe St.,Cape Coral,USA,943066,Xantha@ultrices.us,Sade *King,586-843-6682,VA,69403,69403,Sade King,966.9,3,303.3,,1,0.00
Camille Ryan,372905930926282,520,,64871 North Dominican Republic Ave.,Eatontown,USA,932662,Hope@quis.gov,Shannon *Booker,907-709-4027,AZ,63295,99265,Camille Ryan,510,2,240,,0,0.00
Jameson Merrill,4763933220472691,520,,98420 West United States Minor Outlying Islands Ln.,Milwaukee,USA,466370,Jason@arcu.net,Savannah *Eaton,873-526-2963,NY,83455,23572,Jameson Merrill,4377.8,3,1376.7,,0,0.00
Tate Andrews,6011386594681063,322,,72969 East China Blvd.,New Orleans,USA,936307,Maya@Pellentesque.us,Diana *Bass,804-010-4702,RI,22915,72450,Tate Andrews,2550,2,1200,,0,0.00
Indigo Herman,345258010662797,320,,82682 South American Samoa Ln.,Hollywood,USA,913610,Serena@mollis.org,Hilel *Kaufman,288-894-1397,WV,50020,14158,Indigo Herman,524.3,2,245,,0,0.00
Nicholas Fry,5412313041563113,1022,,36829 East Poland St.,Sun Valley,USA,201911,Brenda@pellentesque.org,Nicholas *Fry,415-791-8812,AZ,19606,19606,Nicholas Fry,828.9,4,195.5,0,1,0.00
Bert Anthony,4024007196672447,718,,40587 East Elizabeth City Blvd.,Salinas,USA,789473,Louis@Cum.com,Bert *Anthony,753-762-9255,KY,5453,5453,Bert Anthony,212,3,66.7,0,1,1.00
Larissa Bolton,5399210748037044,818,,99015 North Burundi Way,Beaver Falls,USA,226123,Hayfa@convallis.net,Larissa *Bolton,720-930-8774,HI,35220,35220,Larissa Bolton,536.8,3,165.7,0,1,0.00
Tasha Whitfield,4716493802684633,619,,81543 North Mobile St.,Fullerton,USA,497803,Cade@aliquet.net,Lesley *Swanson,897-962-9169,GA,40307,84597,Tasha Whitfield,100.9,2,47.5,,0,0.00
September Emerson,4024007132844837,920,,2642 South Cambodia Way,San Angelo,USA,798335,Ahmed@ipsum.net,September *Emerson,995-003-1753,WI,26574,26574,September Emerson,4825.1,4,1138,0,1,0.00
Hedley Sandoval,4929148104906307,123,,72982 South Benin Ct.,White Plains,USA,529765,Theodore@cubilia.us,Jamal *Warren,010-816-4167,CT,64052,51665,Hedley Sandoval,1723.6,2,800,,0,0.00
Valentine Cantu,4716092288041076,1022,,24040 West Germany Blvd.,Zanesville,USA,671561,Naida@auctor.org,Valentine *Cantu,556-726-2796,AL,37076,37076,Valentine Cantu,3911.2,2,1790,0,1,0.00
Tobias Ray,5208960958706008,1119,,98893  Bermuda Blvd.,Laughlin,USA,142969,Uriel@consectetuer.us,Samantha *Page,269-399-7871,NV,27220,74573,Tobias Ray,1466.2,3,460,,0,0.00
Mechelle Oconnor,6011126062312852,1121,,704  Branson St.,Phoenix,USA,985876,Rajah@ut.net,Mechelle *Oconnor,885-217-6613,LA,77131,77131,Mechelle Oconnor,3771.9,2,1775,,1,0.00
Brenden Bowen,5185393170178185,1022,,36526 West Central African Republic Ct.,West Valley City,USA,282625,Martha@hendrerit.gov,Petra *Boyer,591-806-6555,MN,22563,91588,Brenden Bowen,1505.6,3,472.3,,0,1.00
Pamela Crawford,5220089138968926,518,,83774 North Sri Lanka Ave.,Montpelier,USA,207822,Margaret@et.org,Quamar *Flowers,307-691-9558,UT,10311,87909,Pamela Crawford,212.3,2,97.5,,0,0.00
Montana Rodriquez,5262795702550408,1020,,92516 South Montserrat Ave.,Shelton,USA,27031,Petra@enim.com,Hilary *Hancock,949-565-6179,KS,77103,49088,Montana Rodriquez,244.4,2,115,,0,1.00
Jamal Beasley,5243174112712772,1121,,28148 East Albania Blvd.,Kenner,USA,228599,Desirae@mi.org,Jamal *Beasley,469-471-6602,TX,65631,65631,Jamal Beasley,1324.7,2,625,0,1,0.00
Beatrice Kane,379914273808985,121,,50538 North Macao Ave.,Manassas Park,USA,918506,Melanie@tincidunt.net,Beatrice *Kane,129-013-2575,MN,10057,10057,Beatrice Kane,1397.2,4,328.8,,1,0.00
Eugenia Douglas,379493493174189,520,,29727 North Biloxi Ct.,Escondido,USA,899409,Emery@malesuada.edu,Mara *Davidson,336-773-4191,VA,47003,74057,Eugenia Douglas,70.6,2,33,,0,0.00
Josiah Perez,4556687172670121,918,,7430 North Brown Deer Ct.,Waco,USA,392007,Ishmael@venenatis.com,Josiah *Perez,873-108-7997,NJ,8289,8289,Josiah Perez,1445,4,340,,1,0.00
Joshua Adkins,4208695457292828,621,,36191 East Belgium Ave.,Detroit,USA,511315,Lysandra@consectetuer.org,Joshua *Adkins,608-701-3181,IL,60637,60637,Joshua Adkins,1339.5,2,607.5,,1,1.00
Allegra Walton,5416290997795129,119,,26478 South North Charleston Ave.,Springfield,USA,260686,Madonna@at.org,Hanae *Delaney,855-237-6080,SC,64526,10529,Allegra Walton,228.4,2,107.5,,0,0.00
Alan Merritt,378961361514349,1120,,76906 East Fullerton Ct.,Claremont,USA,925125,Ruby@porttitor.gov,Alan *Merritt,921-545-7040,CO,56661,56661,Alan Merritt,3737.4,4,874.2,0,1,0.00
Colorado Vega,4505042244585984,920,,68046 North Brunei Darussalam Ct.,Concord,USA,696709,Evelyn@Vivamus.edu,Colorado *Vega,187-515-9850,WI,70980,70980,Colorado Vega,1572.5,2,740,,1,0.00
Lucius Hanson,5490884241584070,822,,82429 North Belize Ln.,Jeannette,USA,263176,Amir@arcu.us,Farrah *Hoover,502-777-5303,SD,68294,55564,Lucius Hanson,1715.9,5,323,,0,0.00
Mona Justice,4539169322108866,121,,63114 North Turks and Caicos Islands St.,Port St. Lucie,USA,406511,Damian@Cum.net,Sasha *Jarvis,901-907-3020,GA,55252,69525,Mona Justice,2135.6,3,670,,0,1.00
Lucas Charles,5509808596131806,520,,21230  Malawi St.,Covington,USA,27211,Ivan@tempus.edu,Carson *Hendricks,669-857-9751,NC,70673,93158,Lucas Charles,3669.9,2,1727,,0,0.00
Tara Sampson,5326776581231959,823,,6201 North Tajikistan Ct.,Wilson,USA,215580,Darrel@Aliquam.edu,Tara *Sampson,624-380-9547,MO,12758,12758,Tara Sampson,3585.6,3,1106.7,0,1,0.00
Rafael Knox,340153477985473,921,,34759  Somalia Blvd.,Lincoln,USA,850884,Jocelyn@dui.us,Rafael *Knox,680-103-5860,NV,35619,35619,Rafael Knox,1381.4,3,430.3,,1,0.00
Brynn Brooks,5494102164448330,720,,29738  Anguilla Blvd.,La Habra Heights,USA,27270,Cyrus@Vestibulum.com,Levi *Griffin,867-980-1587,CT,2139,56974,Brynn Brooks,3269.3,2,1538.5,,0,0.00
Callie Serrano,5455051364902876,1022,,75212  Palau Ln.,Twin Falls,USA,27274,Kevyn@turpis.gov,Axel *Mack,393-655-6285,NV,44658,37501,Callie Serrano,1131.6,2,532.5,,0,1.00
Lunea Craft,4556385853570609,621,,60866 West China Ln.,Camden,USA,800217,Garrett@sociis.gov,Jessica *Goodwin,204-883-8076,TX,98990,11842,Lunea Craft,100.9,2,47.5,,0,0.00
Joshua Hawkins,4024007188110117,1120,,23631 North Mauritania Way,Atwater,USA,557043,Tasha@leo.us,Joshua *Hawkins,057-717-2445,GA,93801,93801,Joshua Hawkins,3338.4,3,1047.3,,1,0.00
Galvin Mason,4024007199903419,323,,67649 North Bangladesh Ln.,Vail,USA,658768,Shay@Proin.us,Clayton *Pugh,589-178-2352,NE,11798,59801,Galvin Mason,3497.7,2,1610,2046.5,0,0.00
Noah Whitaker,5125366467729038,918,,20699 West Aliso Viejo Ct.,Plattsburgh,USA,276380,Kathleen@accumsan.net,Noah *Whitaker,870-240-2995,NJ,49014,49014,Noah Whitaker,438.8,3,138,0,1,0.00
Nathan Moss,5419365016419906,419,,60225 North Greenland Ln.,Laguna Niguel,USA,334641,Rowan@Class.edu,Nathan *Moss,886-948-4656,OH,54397,54397,Nathan Moss,3485,3,1093.3,,1,0.00
Lance Stanley,5294818418655329,1021,,97225 North Philippines Way,Midwest City,USA,188571,Tate@condimentum.gov,Lance *Stanley,195-689-7198,VT,27975,27975,Lance Stanley,3559.4,2,1675,,1,0.00
Xander Stephens,4485111642075163,520,,70537 East Concord Ave.,Cape Girardeau,USA,696079,Tashya@neque.com,Xander *Stephens,832-011-6697,MO,8877,8877,Xander Stephens,1657.5,3,520,0,1,1.00
Laura Cameron,340688765711503,420,,68328 South Chile Ct.,Mobile,USA,931020,Grant@Aliquam.gov,Odette *Singleton,363-181-6398,LA,82959,70788,Laura Cameron,600.3,3,188.3,,0,1.00
Blaze Gill,371065138337625,422,,88567 South United States Ave.,Richmond,USA,859137,Sasha@Nam.org,Zachary *Daniels,758-390-8121,VA,61275,69597,Blaze Gill,1107.1,6,173.7,,0,1.00
Haviva Vega,5495788436537139,619,,93494 North Papua New Guinea St.,Beaver Falls,USA,198411,Elton@imperdiet.gov,Quentin *Sweet,952-531-5887,OK,69175,21584,Haviva Vega,334.7,2,157.5,,0,0.00
Kiona Reese,4024007195795215,320,,51590 East Everett Ln.,Schaumburg,USA,444305,Isabella@scelerisque.org,Cleo *Gilmore,464-226-9713,ME,48314,16989,Kiona Reese,86.9,2,41,,0,1.00
Wade Petersen,5111917375072659,919,,83622 South Swaziland Ln.,Branson,USA,139754,Hedley@facilisis.gov,Wade *Petersen,085-813-7566,MN,66669,66669,Wade Petersen,3511.6,2,1652.5,,1,0.00
Cassady Harvey,5268393150029408,923,,'40436  Virgin Islands, U.S. Blvd.',Eugene,USA,27510,Pearl@eleifend.org,Katelyn *Larsen,154-218-7880,MO,68299,50196,Cassady Harvey,90.3,2,42.5,,0,0.00
Josephine Simmons,6011184147599324,521,,98595 South Zambia Ln.,Nashua,USA,941390,Jennifer@Praesent.edu,Cairo *Kirby,084-536-4894,VT,27367,18853,Josephine Simmons,336.8,3,105.7,,0,1.00
Willow Pennington,341524938265003,1119,,42291 South Qatar St.,North Pole,USA,893940,Armand@adipiscing.edu,Lucian *Cabrera,300-716-9354,SC,84952,86764,Willow Pennington,350.6,2,165,,0,1.00
Christian Lowery,4213670651995198,1120,,15775 South Macedonia Ave.,Salinas,USA,568668,Dolan@Nam.edu,Fritz *Valentine,602-397-2300,CA,69797,54600,Christian Lowery,214.6,2,101,,0,0.00
Rhiannon Silva,4611465033238534,521,,85965  Eden Prairie Ave.,Gulfport,USA,414735,Dustin@congue.org,Bruce *Ross,874-096-0471,IN,33561,24563,Rhiannon Silva,3867.5,3,1213.3,,0,0.00
Berk Walters,377830591050153,620,,41975 East Sweden Blvd.,Bossier City,USA,897725,Brenden@orci.us,Berk *Walters,567-673-1055,OR,99691,99691,Berk Walters,330,3,110,0,1,0.00
Galvin Winters,4532954275941547,321,,54128  Cambodia Way,Opelousas,USA,506399,Kyra@odio.gov,Galvin *Winters,458-639-2354,AZ,35236,35236,Galvin Winters,3866.2,3,1182.3,0,1,0.00
Karen Branch,372125827257598,722,,53321 East Central African Republic Blvd.,Port Jervis,USA,925186,Mark@luctus.com,Karen *Branch,934-819-0636,MD,36470,36470,Karen Branch,110.8,3,34.7,0,1,0.00
Marvin Hurley,5219397740241001,422,,80271 West Carson City Blvd.,Pittsburgh,USA,249375,Ahmed@ridiculus.org,Marvin *Hurley,399-940-8451,WY,69127,69127,Marvin Hurley,2061.5,2,977,0,1,0.00
Marah Bradshaw,4024007152466537,922,,5671 West Davenport Blvd.,Cicero,USA,393548,Keaton@morbi.net,Marah *Bradshaw,917-104-4843,MT,82184,82184,Marah Bradshaw,467.5,3,146.7,,1,0.00
Talon Gentry,4024007164800368,720,,6876 South Maldives Way,Maywood,USA,646430,Sonia@dolor.edu,Talon *Gentry,650-561-1444,KS,3038,3038,Talon Gentry,7040,4,1760,0,1,1.00
Kato Richard,345916976635210,723,,34935 North French Southern Territories Ct.,Chicago,USA,889341,Kasimir@justo.org,Nomlanga *Ray,090-556-2880,SD,81145,55014,Kato Richard,,0,,,0,0.00
Ian Bonner,378179312770437,1021,,55061 East Tajikistan Ct.,Peru,USA,911610,Aspen@hymenaeos.net,Ian *Bonner,914-913-1168,UT,29356,29356,Ian Bonner,278.8,3,87.7,0,1,0.00
Pandora Fernandez,5218460140256309,1021,,44801  Cocos (Keeling) Islands Ln.,Cruz Bay,USA,220771,Jeanette@fames.gov,Dahlia *Mcneil,693-502-5947,MT,67258,70963,Pandora Fernandez,669.4,2,315,,0,0.00
Jarrod Lamb,5379914378852804,621,,3209 North Peru Blvd.,Normal,USA,190495,Roary@orci.com,Renee *Holden,450-610-4346,UT,35090,51167,Jarrod Lamb,87.1,2,41,,0,0.00
Inga Horn,4532744792810071,1119,,22859 North Germany Ct.,Newport,USA,422184,Buffy@Nunc.com,Callie *Morrison,165-902-8839,AK,94004,77983,Inga Horn,775.6,3,243.3,,0,1.00
Hector Baxter,5472794715190704,1119,,69554 South Gibraltar Blvd.,Scottsdale,USA,87174,Serena@Curabitur.net,Hector *Baxter,125-575-4717,MA,2627,2627,Hector Baxter,1442.9,3,452.7,,1,1.00
Mechelle Riley,4556458348383555,222,,16054 East Bahrain Way,Gulfport,USA,517837,Susan@feugiat.com,Mechelle *Riley,698-248-7571,MD,71920,71920,Mechelle Riley,3274.6,3,1027.3,0,1,0.00
April Pugh,5561129212729757,519,,77679  Belgium Blvd.,Westminster,USA,27780,Abra@eu.edu,Abel *Francis,467-050-1844,NV,92532,57469,April Pugh,210.6,2,97.5,1261.6,0,0.00
Amity Chambers,4485044283791451,521,,97366 East Greensburg Ln.,Saint Cloud,USA,373101,Jin@Morbi.gov,Amity *Chambers,051-905-8757,UT,82006,82006,Amity Chambers,349.8,2,165,0,1,0.00
Katell Meyer,5592651361984332,323,,66209 North Gloversville Way,Bowie,USA,151592,Ginger@faucibus.edu,Katell *Meyer,842-170-3986,AL,27834,27834,Katell Meyer,224.7,2,105,0,1,0.00
Matthew Kelley,4716924655796793,923,,77639 South Jordan Ct.,Providence,USA,513368,Derek@est.edu,Matthew *Kelley,418-758-0926,SC,84794,84794,Matthew Kelley,170,2,80,,1,0.00
Kuame Dunn,4556165596727330,518,,77135 East Bradford Ln.,Santa Monica,USA,354308,Nero@pharetra.edu,Kuame *Dunn,676-071-5181,GA,11261,11261,Kuame Dunn,850,2,400,,1,0.00
Harrison Small,4485020721143471,1019,,26123 East Davenport St.,Dover,USA,377616,Candace@lobortis.edu,Harrison *Small,146-887-4730,PA,80509,80509,Harrison Small,207.2,2,97.5,0,1,0.00
Arden Moore,376291253238662,822,,61995 South Montserrat St.,Salinas,USA,894903,Len@Maecenas.com,Arden *Moore,232-228-2593,MD,90355,90355,Arden Moore,207.2,2,97.5,,1,0.00
