ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,VEHICLE_TYPE,MSRP,VEHICLE_BRAND,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
10319,30,10000,9,300000,11/3/2004 0:00,Shipped,4,11,2004,Light,15000,Dodge,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,NA,Kuo,Kee
10329,24,10000,6,240000,11/15/2004 0:00,Shipped,4,11,2004,Light,15000,Dodge,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10341,55,10000,8,550000,11/24/2004 0:00,Shipped,4,11,2004,Light,15000,Dodge,Salzburg Shipping,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10362,22,10000,1,220000,1/5/2005 0:00,Shipped,1,1,2005,Light,15000,Dodge,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
10375,49,78000,13,3822000,2/3/2005 0:00,Shipped,1,2,2005,Light,15000,Dodge,La Rochelle Transports,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
10388,44,10000,6,440000,3/3/2005 0:00,Shipped,1,3,2005,Light,15000,Dodge,FunTransportIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta
10403,66,10000,6,660000,4/8/2005 0:00,Shipped,2,4,2005,Light,15000,Dodge,"UK Shipping, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
10417,21,10000,1,210000,5/13/2005 0:00,Disputed,2,5,2005,Light,15000,Dodge,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10104,34,10000,1,340000,1/31/2003 0:00,Shipped,1,1,2003,Utility,15100,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10117,43,10000,10,430000,4/16/2003 0:00,Shipped,2,4,2003,Utility,15100,GMC,"Dragon Shipping, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,079903,Singapore,Japan,Natividad,Eric
10127,46,10000,3,460000,6/3/2003 0:00,Shipped,2,6,2003,Utility,15100,GMC,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff
10142,33,10000,13,330000,8/8/2003 0:00,Shipped,3,8,2003,Utility,15100,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10153,42,10000,12,420000,9/28/2003 0:00,Shipped,3,9,2003,Utility,15100,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10165,34,10000,4,340000,10/22/2003 0:00,Shipped,4,10,2003,Utility,15100,GMC,"Dragon Shipping, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,079903,Singapore,Japan,Natividad,Eric
10176,47,10000,3,470000,11/6/2003 0:00,Shipped,4,11,2003,Utility,15100,GMC,L'ordine Shipping,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio
10185,33,10000,14,330000,11/14/2003 0:00,Shipped,4,11,2003,Utility,15100,GMC,Logistics Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C
10196,24,10000,6,240000,11/26/2003 0:00,Shipped,4,11,2003,Utility,15100,GMC,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie
10208,26,10000,14,260000,1/2/2004 0:00,Shipped,1,1,2004,Utility,15100,GMC,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary
10220,30,10000,3,300000,2/12/2004 0:00,Shipped,1,2,2004,Utility,15100,GMC,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean
10230,43,10000,1,430000,3/15/2004 0:00,Shipped,1,3,2004,Utility,15100,GMC,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland
10247,25,10000,3,250000,5/5/2004 0:00,Shipped,2,5,2004,Utility,15100,GMC,Suominen Shipping,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle
10272,27,10000,3,270000,7/20/2004 0:00,Shipped,3,7,2004,Utility,15100,GMC,Transport Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
10282,27,10000,6,270000,8/20/2004 0:00,Shipped,3,8,2004,Utility,15100,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10293,24,10000,9,240000,9/9/2004 0:00,Shipped,3,9,2004,Utility,15100,GMC,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo
10306,34,10000,14,340000,10/14/2004 0:00,Shipped,4,10,2004,Utility,15100,GMC,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria
10314,46,10000,6,460000,10/22/2004 0:00,Shipped,4,10,2004,Utility,15100,GMC,Heintze Shipping,86 21 3555,Smagsloget 45,,?rhus,,8200,Denmark,EMEA,Ibsen,Palle
10324,27,54000,1,1458000,11/5/2004 0:00,Shipped,4,11,2004,Utility,15100,GMC,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael
10336,33,10000,11,330000,11/20/2004 0:00,Shipped,4,11,2004,Utility,15100,GMC,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie
10348,47,10000,4,470000,11/1/2004 0:00,Shipped,4,11,2004,Utility,15100,GMC,"Corrida Auto Logistics, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart�n
10358,49,55000,5,2695000,12/10/2004 0:00,Shipped,4,12,2004,Utility,15100,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10372,40,10000,4,400000,1/26/2005 0:00,Shipped,1,1,2005,Utility,15100,GMC,"Tokyo Shipping, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10382,37,10000,11,370000,2/17/2005 0:00,Shipped,1,2,2005,Utility,15100,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10413,47,10000,3,470000,5/5/2005 0:00,Shipped,2,5,2005,Utility,15100,GMC,Transport Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie
10108,45,10000,4,450000,3/3/2003 0:00,Shipped,1,3,2003,Utility,11700,GMC,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold
10122,37,99000,8,3663000,5/8/2003 0:00,Shipped,2,5,2003,Utility,11700,GMC,Marseille Logistics Autos,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence
10135,48,10000,5,480000,7/2/2003 0:00,Shipped,3,7,2003,Utility,11700,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10147,31,10000,5,310000,9/5/2003 0:00,Shipped,3,9,2003,Utility,11700,GMC,Shipping For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen
10160,46,10000,6,460000,10/11/2003 0:00,Shipped,4,10,2003,Utility,11700,GMC,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,NA,Chandler,Michael
10170,47,10000,4,470000,11/4/2003 0:00,Shipped,4,11,2003,Utility,11700,GMC,Logistics Auto Werke,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland
10181,28,10000,12,280000,11/12/2003 0:00,Shipped,4,11,2003,Utility,11700,GMC,Herkku Transports,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10191,40,10000,1,400000,11/20/2003 0:00,Shipped,4,11,2003,Utility,11700,GMC,"Toms Spezialit?ten, Ltd",0221-5554327,Mehrheimerstr. 369,,K�ln,,50739,Germany,EMEA,Pfalzheim,Henriette
10203,20,10000,6,200000,12/2/2003 0:00,Shipped,4,12,2003,Utility,11700,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10212,39,10000,16,390000,1/16/2004 0:00,Shipped,1,1,2004,Utility,11700,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10225,25,99000,7,2475000,2/22/2004 0:00,Shipped,1,2,2004,Utility,11700,GMC,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gen�ve,,1203,Switzerland,EMEA,Holz,Michael
10238,29,10000,1,290000,4/9/2004 0:00,Shipped,2,4,2004,Utility,11700,GMC,Danish Wholesale Imports,31 12 3555,Vinb�ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte
10253,22,10000,11,220000,6/1/2004 0:00,Cancelled,2,6,2004,Utility,11700,GMC,"UK Shipping, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
10266,22,10000,12,220000,7/6/2004 0:00,Shipped,3,7,2004,Utility,11700,GMC,L'ordine Shipping,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio
10276,47,10000,1,470000,8/2/2004 0:00,Shipped,3,8,2004,Utility,11700,GMC,Online Logistics Shipping,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,NA,Barajas,Miguel
10287,45,10000,10,450000,8/30/2004 0:00,Shipped,3,8,2004,Utility,11700,GMC,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gen�ve,,1203,Switzerland,EMEA,Holz,Michael
10300,29,10000,3,290000,10/4/2003 0:00,Shipped,4,10,2003,Utility,11700,GMC,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland
10310,24,10000,8,240000,10/16/2004 0:00,Shipped,4,10,2004,Utility,11700,GMC,"Toms Spezialit?ten, Ltd",0221-5554327,Mehrheimerstr. 369,,K�ln,,50739,Germany,EMEA,Pfalzheim,Henriette
10320,35,10000,1,350000,11/3/2004 0:00,Shipped,4,11,2004,Utility,11700,GMC,"Volvo Model Logistics, Co",0921-12 3555,Berguvsv�gen  8,,Lule�,,S-958 22,Sweden,EMEA,Berglund,Christina
10329,46,86000,13,3956000,11/15/2004 0:00,Shipped,4,11,2004,Utility,11700,GMC,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10341,44,95000,1,4180000,11/24/2004 0:00,Shipped,4,11,2004,Utility,11700,GMC,Salzburg Shipping,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10363,34,95000,4,3230000,1/6/2005 0:00,Shipped,1,1,2005,Utility,11700,GMC,Suominen Shipping,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle
10376,35,10000,1,350000,2/8/2005 0:00,Shipped,1,2,2005,Utility,11700,GMC,Boards & Logistics Co.,3105552373,4097 Douglas Av.,,Glendale,CA,92561,USA,NA,Young,Leslie
10389,25,45000,6,1125000,3/3/2005 0:00,Shipped,1,3,2005,Utility,11700,GMC,Scandinavian Transport Ideas,0695-34 6555,?kergatan 24,,Br�cke,,S-844 67,Sweden,EMEA,Larsson,Maria
10419,10,10000,11,100000,5/17/2005 0:00,Shipped,2,5,2005,Utility,11700,GMC,Salzburg Shipping,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10105,29,10000,14,290000,2/11/2003 0:00,Shipped,1,2,2003,Utility,17300,GMC,Danish Wholesale Imports,31 12 3555,Vinb�ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte
10117,39,10000,8,390000,4/16/2003 0:00,Shipped,2,4,2003,Utility,17300,GMC,"Dragon Shipping, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,079903,Singapore,Japan,Natividad,Eric
10127,42,10000,1,420000,6/3/2003 0:00,Shipped,2,6,2003,Utility,17300,GMC,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff
10142,46,10000,11,460000,8/8/2003 0:00,Shipped,3,8,2003,Utility,17300,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10153,49,10000,10,490000,9/28/2003 0:00,Shipped,3,9,2003,Utility,17300,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10165,27,10000,2,270000,10/22/2003 0:00,Shipped,4,10,2003,Utility,17300,GMC,"Dragon Shipping, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,079903,Singapore,Japan,Natividad,Eric
10176,50,10000,1,500000,11/6/2003 0:00,Shipped,4,11,2003,Utility,17300,GMC,L'ordine Shipping,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio
10185,43,10000,12,430000,11/14/2003 0:00,Shipped,4,11,2003,Utility,17300,GMC,Logistics Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C
10196,38,10000,4,380000,11/26/2003 0:00,Shipped,4,11,2003,Utility,17300,GMC,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie
10208,20,10000,12,200000,1/2/2004 0:00,Shipped,1,1,2004,Utility,17300,GMC,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary
10220,27,10000,1,270000,2/12/2004 0:00,Shipped,1,2,2004,Utility,17300,GMC,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean
10231,49,10000,1,490000,3/19/2004 0:00,Shipped,1,3,2004,Utility,17300,GMC,CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA,Fernandez,Jesus
10247,27,10000,1,270000,5/5/2004 0:00,Shipped,2,5,2004,Utility,17300,GMC,Suominen Shipping,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle
10272,39,10000,1,390000,7/20/2004 0:00,Shipped,3,7,2004,Utility,17300,GMC,Transport Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
10282,24,10000,4,240000,8/20/2004 0:00,Shipped,3,8,2004,Utility,17300,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10293,45,10000,7,450000,9/9/2004 0:00,Shipped,3,9,2004,Utility,17300,GMC,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo
10306,20,10000,12,200000,10/14/2004 0:00,Shipped,4,10,2004,Utility,17300,GMC,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria
10314,36,10000,4,360000,10/22/2004 0:00,Shipped,4,10,2004,Utility,17300,GMC,Heintze Shipping,86 21 3555,Smagsloget 45,,?rhus,,8200,Denmark,EMEA,Ibsen,Palle
10325,24,10000,1,240000,11/5/2004 0:00,Shipped,4,11,2004,Utility,17300,GMC,Baane Logistics Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
10336,49,63000,1,3087000,11/20/2004 0:00,Shipped,4,11,2004,Utility,17300,GMC,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie
10349,26,10000,10,260000,12/1/2004 0:00,Shipped,4,12,2004,Utility,17300,GMC,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff
10359,49,62000,5,3038000,12/15/2004 0:00,Shipped,4,12,2004,Utility,17300,GMC,Reims Shipping,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul
10372,34,10000,1,340000,1/26/2005 0:00,Shipped,1,1,2005,Utility,17300,GMC,"Tokyo Shipping, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10382,34,95000,12,3230000,2/17/2005 0:00,Shipped,1,2,2005,Utility,17300,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10396,33,10000,3,330000,3/23/2005 0:00,Shipped,1,3,2005,Utility,17300,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10413,22,10000,1,220000,5/5/2005 0:00,Shipped,2,5,2005,Utility,17300,GMC,Transport Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie
10108,39,89000,7,3471000,3/3/2003 0:00,Shipped,1,3,2003,Utility,79000,GMC,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold
10122,32,63000,11,2016000,5/8/2003 0:00,Shipped,2,5,2003,Utility,79000,GMC,Marseille Logistics Autos,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence
10135,24,75000,8,1800000,7/2/2003 0:00,Shipped,3,7,2003,Utility,79000,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10147,21,63000,8,1323000,9/5/2003 0:00,Shipped,3,9,2003,Utility,79000,GMC,Shipping For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen
10159,24,73000,3,1752000,10/10/2003 0:00,Shipped,4,10,2003,Utility,79000,GMC,Corporate Transport Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie
10169,36,63000,3,2268000,11/4/2003 0:00,Shipped,4,11,2003,Utility,79000,GMC,"Anna's Transport, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna
10181,20,81000,15,1620000,11/12/2003 0:00,Shipped,4,11,2003,Utility,79000,GMC,Herkku Transports,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10191,30,64000,4,1920000,11/20/2003 0:00,Shipped,4,11,2003,Utility,79000,GMC,"Toms Spezialit?ten, Ltd",0221-5554327,Mehrheimerstr. 369,,K�ln,,50739,Germany,EMEA,Pfalzheim,Henriette
10203,44,82000,9,3608000,12/2/2003 0:00,Shipped,4,12,2003,Utility,79000,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10211,28,92000,3,2576000,1/15/2004 0:00,Shipped,1,1,2004,Utility,79000,GMC,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique
10225,37,77000,10,2849000,2/22/2004 0:00,Shipped,1,2,2004,Utility,79000,GMC,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gen�ve,,1203,Switzerland,EMEA,Holz,Michael
10238,20,74000,4,1480000,4/9/2004 0:00,Shipped,2,4,2004,Utility,79000,GMC,Danish Wholesale Imports,31 12 3555,Vinb�ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte
10253,25,90000,14,2250000,6/1/2004 0:00,Cancelled,2,6,2004,Utility,79000,GMC,"UK Shipping, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
10266,35,76000,15,2660000,7/6/2004 0:00,Shipped,3,7,2004,Utility,79000,GMC,L'ordine Shipping,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio
10276,38,83000,4,3154000,8/2/2004 0:00,Shipped,3,8,2004,Utility,79000,GMC,Online Logistics Shipping,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,NA,Barajas,Miguel
10287,41,69000,13,2829000,8/30/2004 0:00,Shipped,3,8,2004,Utility,79000,GMC,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gen�ve,,1203,Switzerland,EMEA,Holz,Michael
10300,22,76000,6,1672000,10/4/2003 0:00,Shipped,4,10,2003,Utility,79000,GMC,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland
10310,49,81000,11,3969000,10/16/2004 0:00,Shipped,4,10,2004,Utility,79000,GMC,"Toms Spezialit?ten, Ltd",0221-5554327,Mehrheimerstr. 369,,K�ln,,50739,Germany,EMEA,Pfalzheim,Henriette
10320,38,73000,4,2774000,11/3/2004 0:00,Shipped,4,11,2004,Utility,79000,GMC,"Volvo Model Logistics, Co",0921-12 3555,Berguvsv�gen  8,,Lule�,,S-958 22,Sweden,EMEA,Berglund,Christina
10329,33,10000,14,330000,11/15/2004 0:00,Shipped,4,11,2004,Utility,79000,GMC,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10341,36,93000,10,3348000,11/24/2004 0:00,Shipped,4,11,2004,Utility,79000,GMC,Salzburg Shipping,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10363,34,81000,5,2754000,1/6/2005 0:00,Shipped,1,1,2005,Utility,79000,GMC,Suominen Shipping,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle
10377,24,67000,5,1608000,2/9/2005 0:00,Shipped,1,2,2005,Utility,79000,GMC,"Logistics of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
10389,36,70000,7,2520000,3/3/2005 0:00,Shipped,1,3,2005,Utility,79000,GMC,Scandinavian Transport Ideas,0695-34 6555,?kergatan 24,,Br�cke,,S-844 67,Sweden,EMEA,Larsson,Maria
10419,34,90000,14,3060000,5/17/2005 0:00,Shipped,2,5,2005,Utility,79000,GMC,Salzburg Shipping,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10104,41,10000,9,410000,1/31/2003 0:00,Shipped,1,1,2003,Heavy,11800,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10115,46,10000,5,460000,4/4/2003 0:00,Shipped,2,4,2003,Heavy,11800,GMC,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria
10127,24,10000,11,240000,6/3/2003 0:00,Shipped,2,6,2003,Heavy,11800,GMC,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff
10141,21,10000,5,210000,8/1/2003 0:00,Shipped,3,8,2003,Heavy,11800,GMC,Suominen Shipping,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle
10151,24,10000,3,240000,9/21/2003 0:00,Shipped,3,9,2003,Heavy,11800,GMC,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko
10165,48,10000,12,480000,10/22/2003 0:00,Shipped,4,10,2003,Heavy,11800,GMC,"Dragon Shipping, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,079903,Singapore,Japan,Natividad,Eric
10175,26,10000,1,260000,11/6/2003 0:00,Shipped,4,11,2003,Heavy,11800,GMC,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann
10184,37,10000,6,370000,11/14/2003 0:00,Shipped,4,11,2003,Heavy,11800,GMC,"Iberia Transport Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jos� Pedro
10195,49,10000,6,490000,11/25/2003 0:00,Shipped,4,11,2003,Heavy,11800,GMC,Logistics Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve
10207,34,99000,7,3366000,12/9/2003 0:00,Shipped,4,12,2003,Heavy,11800,GMC,Transport Shipping,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,NA,Franco,Valarie
10219,48,10000,2,480000,2/10/2004 0:00,Shipped,1,2,2004,Heavy,11800,GMC,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,NA,Taylor,Sue
10229,36,10000,1,360000,3/11/2004 0:00,Shipped,1,3,2004,Heavy,11800,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10246,46,10000,5,460000,5/5/2004 0:00,Shipped,2,5,2004,Heavy,11800,GMC,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10259,46,10000,4,460000,6/15/2004 0:00,Shipped,2,6,2004,Heavy,11800,GMC,Handji Transports& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,069045,Singapore,APAC,Victorino,Wendy
10271,31,97000,5,3007000,7/20/2004 0:00,Shipped,3,7,2004,Heavy,11800,GMC,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10281,41,10000,1,410000,8/19/2004 0:00,Shipped,3,8,2004,Heavy,11800,GMC,Transport Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
